firm,ticker,date,t_sub,direction,size,fill_price,pnl_1ms,pnl_10ms,pnl_50ms,pnl_100ms,pnl_250ms,pnl_500ms,pnl_1s,pnl_2s,pnl_5s,pnl_10s,pnl_30s,pnl_1min,pnl_5min,pnl_30min
UBSS,AVAV,2026-02-23,57558.992917869,ask,1,261.0,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.15,0.15,-0.19,1.0,2.2,3.0
UBSS,AVAV,2026-02-24,34200.955467454,bid,2,251.0,2.0,1.8,1.8,1.34,1.78,0.42,0.46,-1.86,-1.98,-2.02,-2.12,-2.36,0.7,5.04
UBSS,AVAV,2026-02-24,34203.437817541,bid,60,250.0,43.8,43.8,43.8,43.8,43.8,43.8,43.8,0.6,-3.0,-34.2,-3.6,-10.8,111.0,211.2
UBSS,AVAV,2026-02-24,34203.437817541,bid,1,250.0,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.01,-0.05,-0.57,-0.06,-0.18,1.85,3.52
UBSS,AVAV,2026-02-24,34203.437817541,bid,500,250.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,5.0,-25.0,-285.0,-30.0,-90.0,925.0,1760.0
UBSS,AVAV,2026-02-24,34203.437817541,bid,5,250.0,3.65,3.65,3.65,3.65,3.65,3.65,3.65,0.05,-0.25,-2.85,-0.3,-0.9,9.25,17.6
UBSS,AVAV,2026-02-24,34203.437817541,bid,4,250.0,2.92,2.92,2.92,2.92,2.92,2.92,2.92,0.04,-0.2,-2.28,-0.24,-0.72,7.4,14.08
UBSS,AVAV,2026-02-24,34203.437817541,bid,4,250.0,2.92,2.92,2.92,2.92,2.92,2.92,2.92,0.04,-0.2,-2.28,-0.24,-0.72,7.4,14.08
UBSS,AVAV,2026-02-24,34203.437817541,bid,25,250.0,18.25,18.25,18.25,18.25,18.25,18.25,18.25,0.25,-1.25,-14.25,-1.5,-4.5,46.25,88.0
UBSS,AVAV,2026-02-24,34206.920065343,bid,5,248.33,0.1,0.4,0.4,0.4,0.1,3.2,3.2,8.1,5.5,2.05,7.55,7.45,19.3,25.95
UBSS,AVAV,2026-02-24,34206.920065343,bid,1,247.71,0.64,0.7,0.7,0.7,0.64,1.26,1.26,2.24,1.72,1.03,2.13,2.11,4.48,5.81
UBSS,AVAV,2026-02-25,34200.617190467,bid,70,264.25,37.1,23.1,49.0,49.0,49.0,13.3,13.3,-7.0,-57.4,-49.7,-21.7,-21.7,-105.0,-141.75
UBSS,AVAV,2026-02-25,56761.01888074,bid,20,255.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.8,13.8,13.8,14.8,3.2,5.6
UBSS,AVAV,2026-02-25,57227.161922783,bid,15,254.8,3.9,3.9,3.9,3.9,3.9,3.9,4.05,7.05,7.05,7.05,9.15,8.7,6.375,17.1
UBSS,AVAV,2026-02-25,57261.05357365,bid,10,254.95000000000002,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,3.0,-2.0,2.1,9.9
UBSS,AVAV,2026-02-27,34203.890571079,bid,5,250.0,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,14.225,11.15,0.05,-0.05,-7.325
UBSS,AVAV,2026-02-27,34203.890571079,bid,2,250.0,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,5.69,4.46,0.02,-0.02,-2.93
UBSS,AVAV,2026-02-27,34203.890571079,bid,1,250.0,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.845,2.23,0.01,-0.01,-1.465
UBSS,AVAV,2026-03-02,56760.066712999,bid,1,204.0,1.44,1.48,1.48,1.32,1.32,1.32,1.32,1.32,1.2,1.24,0.72,0.39,2.0,4.74
UBSS,AVAV,2026-03-02,57085.631633971,ask,20,207.0,14.8,14.8,14.8,14.8,14.8,14.8,12.6,12.6,10.6,14.8,11.6,19.8,-6.4,-44.6
UBSS,AVAV,2026-03-02,57177.02295379,ask,200,206.9,178.0,178.0,178.0,178.0,178.0,178.0,178.0,160.0,160.0,88.0,-34.0,-20.0,-326.0,-466.0
UBSS,AVAV,2026-03-02,57245.947430017,bid,175,206.98000000000002,21.875,21.875,21.875,21.875,21.875,22.75,22.75,7.0,18.375,13.125,-3.5,157.5,306.25,369.25
UBSS,AVAV,2026-03-03,57164.331231739,ask,150,228.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.5,-54.0,-54.0,22.5,508.5
UBSS,AVAV,2026-03-03,57416.874650515,bid,8,228.0,2.32,2.32,2.32,2.4,2.4,2.4,2.0,1.6,0.64,0.16,2.08,2.6,4.8,-16.72
UBSS,AVAV,2026-03-04,34203.113659957,ask,5,228.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,15.0,13.0,2.0,2.45
UBSS,AVAV,2026-03-05,34200.58848916,bid,1,231.89000000000001,-0.39,-0.39,-0.84,-0.84,-0.84,-0.84,-0.89,-1.0,-0.89,-1.89,-1.89,2.83,-0.89,-6.99
UBSS,AVAV,2026-03-06,34201.098617128,ask,2,218.49,4.16,4.6,6.98,6.98,6.98,6.98,6.98,6.98,9.88,9.06,7.74,5.22,8.84,-5.72
UBSS,AVAV,2026-03-09,56822.875976741,bid,3,224.5,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.48,-0.48,-0.48,1.23,1.74,1.815,2.13
UBSS,AVAV,2026-03-10,56748.076251587,bid,25,223.0,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,17.5,17.5,16.5,4.875,-579.0
