date,firm,order_id,direction,size,sub_price,t_submit,t_terminal,term_type,hold_s,filled,mid_at_sub,price_to_mid_bps,mtm_pnl_at_deletion_usd,pnl_0.001s,pnl_0.01s,pnl_0.05s,pnl_0.1s,pnl_0.25s,pnl_0.5s,pnl_1s,pnl_2s,pnl_5s,pnl_10s,pnl_30s,pnl_60s,pnl_300s,pnl_1800s,pnl_EOD,nearest_event,nearest_event_dt_s,firm_name,firm_type,known_strategies,strategy_class,annotation_conf
2025-10-01,UBSS,50808853,ask,100,1110.0,34200.579778,35100.150221,delete,899.570444,False,922.55,2031.87,19402.0,,,,,,,,,,,,,,,,,,"UBS Securities, LLC",unknown,[],?,?
2025-10-01,UBSS,50822025,bid,100,737.09,34200.598321,35100.150194,delete,899.551873,False,922.55,-2010.3,17889.0,,,,,,,,,,,,,,,,,,"UBS Securities, LLC",unknown,[],?,?
2025-10-01,UBSS,44848357,ask,1,924.0,34200.947313,34230.2212,delete,29.273887,False,922.05,21.15,2.53,,,,,,,,,,,,,,,,,,"UBS Securities, LLC",unknown,[],?,?
2025-10-01,UBSS,30990533,ask,3,924.5,34200.947313,34230.221346,delete,29.274033,False,922.05,26.57,9.09,,,,,,,,,,,,,,,,,,"UBS Securities, LLC",unknown,[],?,?
2025-10-01,UBSS,42455757,bid,1,922.0,34200.947313,34202.863859,vis_exec,1.916546,True,922.05,-0.54,0.0,1.01,0.42,0.28,0.28,0.28,0.28,0.99,-0.7,-0.91,-0.16,-0.51,-1.36,-4.61,-9.59,-4.865,,,"UBS Securities, LLC",unknown,[],?,?
2025-10-01,UBSS,30100225,bid,2,921.65,34200.947313,34202.864503,vis_exec,1.91719,True,922.05,-4.34,0.0,2.72,1.54,1.26,1.26,1.26,1.26,2.68,-0.7,-1.12,0.38,-0.32,-2.02,-8.52,-18.48,-9.03,,,"UBS Securities, LLC",unknown,[],?,?
2025-10-01,UBSS,34863641,ask,2,924.62,34200.947313,34230.221414,delete,29.274101,False,922.05,27.87,6.3,,,,,,,,,,,,,,,,,,"UBS Securities, LLC",unknown,[],?,?
2025-10-01,UBSS,39785937,ask,4,926.66,34203.501061,34230.221511,delete,26.72045,False,921.3,58.18,20.76,,,,,,,,,,,,,,,,,,"UBS Securities, LLC",unknown,[],?,?
2025-10-01,UBSS,30100121,ask,4,927.9,34207.036603,34230.221575,delete,23.184972,False,920.6,79.3,25.72,,,,,,,,,,,,,,,,,,"UBS Securities, LLC",unknown,[],?,?
2025-10-01,UBSS,30100233,bid,3,920.0,34207.036603,34230.164404,delete,23.127802,False,920.6,-6.52,4.41,,,,,,,,,,,,,,,,,,"UBS Securities, LLC",unknown,[],?,?
