date,firm,minute_bin,n_orders,total_size
2025-10-01,ETMM,570,5,500
2025-10-01,ETMM,571,1,100
2025-10-01,ETMM,572,1,100
2025-10-01,ETMM,574,2,200
2025-10-01,ETMM,575,3,300
2025-10-01,ETMM,578,1,100
2025-10-01,ETMM,580,1,100
2025-10-01,ETMM,584,2,200
2025-10-01,ETMM,586,2,200
2025-10-01,ETMM,590,2,200
2025-10-01,ETMM,592,3,300
2025-10-01,ETMM,593,1,100
2025-10-01,ETMM,594,1,100
2025-10-01,ETMM,595,2,200
2025-10-01,ETMM,597,1,100
2025-10-01,ETMM,598,2,200
2025-10-01,ETMM,599,3,300
2025-10-01,ETMM,600,1,100
2025-10-01,ETMM,601,2,200
2025-10-01,ETMM,602,1,100
2025-10-01,ETMM,604,1,100
2025-10-01,ETMM,610,1,100
2025-10-01,ETMM,618,1,100
2025-10-01,ETMM,621,2,200
2025-10-01,ETMM,627,1,100
2025-10-01,ETMM,628,1,100
2025-10-01,ETMM,629,1,100
2025-10-01,ETMM,636,1,100
2025-10-01,ETMM,638,2,200
2025-10-01,ETMM,639,1,100
2025-10-01,ETMM,641,1,100
2025-10-01,ETMM,642,2,200
2025-10-01,ETMM,643,1,100
2025-10-01,ETMM,647,1,100
2025-10-01,ETMM,659,1,100
2025-10-01,ETMM,660,1,100
2025-10-01,ETMM,663,1,100
2025-10-01,ETMM,666,1,100
2025-10-01,ETMM,667,1,100
2025-10-01,ETMM,669,1,100
2025-10-01,ETMM,677,1,100
2025-10-01,ETMM,679,1,100
2025-10-01,ETMM,684,1,100
2025-10-01,ETMM,685,1,100
2025-10-01,ETMM,688,1,100
2025-10-01,ETMM,690,1,100
2025-10-01,ETMM,700,1,100
2025-10-01,ETMM,710,1,100
2025-10-01,ETMM,712,2,200
2025-10-01,ETMM,721,2,200
2025-10-01,ETMM,723,1,100
2025-10-01,ETMM,745,1,100
2025-10-01,ETMM,746,1,100
2025-10-01,ETMM,793,2,200
2025-10-01,ETMM,809,1,100
2025-10-01,ETMM,810,1,100
2025-10-01,ETMM,823,1,100
2025-10-01,ETMM,834,1,100
2025-10-01,ETMM,838,2,200
2025-10-01,ETMM,841,1,100
2025-10-01,ETMM,859,1,100
2025-10-01,ETMM,871,1,100
2025-10-01,ETMM,903,1,100
2025-10-01,ETMM,914,1,100
2025-10-01,ETMM,944,1,100
2025-10-01,ETMM,945,1,100
2025-10-01,IMCC,570,2,200
2025-10-01,IMCC,571,4,400
2025-10-01,IMCC,572,2,200
2025-10-01,IMCC,573,2,200
2025-10-01,IMCC,574,2,200
2025-10-01,IMCC,575,6,600
2025-10-01,IMCC,576,2,200
2025-10-01,IMCC,577,6,600
2025-10-01,IMCC,582,2,200
2025-10-01,IMCC,583,2,200
2025-10-01,IMCC,590,2,200
2025-10-01,IMCC,592,2,200
2025-10-01,IMCC,600,2,200
2025-10-01,IMCC,610,2,200
2025-10-01,IMCC,633,2,200
2025-10-01,IMCC,637,2,200
2025-10-01,IMCC,642,4,400
2025-10-01,IMCC,643,2,200
2025-10-01,IMCC,667,2,200
2025-10-01,IMCC,679,2,200
2025-10-01,IMCC,688,2,200
2025-10-01,IMCC,710,2,200
2025-10-01,IMCC,712,2,200
