date,firm,n_submits,n_filled,fill_rate,avg_holding_s,med_holding_s,bid_ask_ratio,med_iat_s,burst_frac
2025-10-01,ADAM,2,0,0.0,854.4905,854.4905,1.0,1.269719,0.0
2025-10-01,BARD,2,0,0.0,854.4905,854.4905,1.0,1.269719,0.0
2025-10-01,CANT,2,0,0.0,854.4905,854.4905,1.0,1.269719,0.0
2025-10-01,CDRG,2,0,0.0,1822.8457,1822.8457,,0.001457,0.0
2025-10-01,COWN,2,0,0.0,854.4905,854.4905,1.0,1.269719,0.0
2025-10-01,CSTI,2,0,0.0,854.4905,854.4905,1.0,1.269719,0.0
2025-10-01,DVES,2,0,0.0,896.4072,896.4072,1.0,1e-05,1.0
2025-10-01,ETMM,86,0,0.0,708.7042,236.2206,0.911,82.440141,0.0824
2025-10-01,FLTU,27,0,0.0,1503.2324,757.4763,0.929,33.660527,0.1154
2025-10-01,GSCO,1,0,0.0,280.1918,280.1918,,,0.0
2025-10-01,IMCC,70,0,0.0,1138.5059,388.7251,0.458,0.000725,0.5217
2025-10-01,INTL,2,0,0.0,854.4905,854.4905,1.0,1.269719,0.0
2025-10-01,JPMS,11679,0,0.0,3.9662,0.152,0.783,0.021723,0.3751
2025-10-01,JSSF,2,0,0.0,854.4905,854.4905,1.0,1.269719,0.0
2025-10-01,KEYB,2,0,0.0,854.5001,854.5001,1.0,1.250477,0.0
2025-10-01,LEHM,2,0,0.0,897.6418,897.6418,1.0,1.5e-05,1.0
2025-10-01,MAXM,11893,0,0.0,3.9339,0.1456,0.784,0.020864,0.3776
2025-10-01,RAJA,2,0,0.0,854.5001,854.5001,1.0,1.250477,0.0
2025-10-01,RBCM,2,0,0.0,854.5001,854.5001,1.0,1.250477,0.0
2025-10-01,RHCO,2,0,0.0,854.4905,854.4905,1.0,1.269719,0.0
2025-10-01,SGAS,10,0,0.0,4255.104,1091.4837,0.429,0.002039,0.4444
2025-10-01,STFL,2,0,0.0,854.4905,854.4905,1.0,1.269719,0.0
2025-10-01,UBSS,222,8,0.036,416.1655,580.294,3.111,0.000168,0.7149
2025-10-01,WABR,2,0,0.0,854.4905,854.4905,1.0,1.269719,0.0
2025-10-01,WBLR,2,0,0.0,854.4905,854.4905,1.0,1.269719,0.0
2025-10-01,WBPX,22089,0,0.0,3.9516,0.1193,0.744,2.5e-05,0.6759
2025-10-01,WCHV,11589,0,0.0,4.0373,0.1898,0.822,0.030057,0.3608
2025-10-02,ADAM,8,0,0.0,11676.8128,11677.171,1.0,0.0,0.7143
2025-10-02,BARD,8,0,0.0,11676.8128,11677.171,1.0,0.0,0.7143
2025-10-02,BBAR,7,0,0.0,16520.3169,22500.1932,1.333,2.3e-05,0.6667
2025-10-02,CANT,8,0,0.0,11676.8128,11677.171,1.0,0.0,0.7143
2025-10-02,CDRG,8,0,0.0,23402.4087,23402.4087,1.0,0.0,1.0
2025-10-02,COWN,8,0,0.0,11676.8128,11677.171,1.0,0.0,0.7143
2025-10-02,CSTI,8,0,0.0,11676.8128,11677.171,1.0,0.0,0.7143
2025-10-02,DADA,7,0,0.0,16527.8322,22500.1932,1.333,2.4e-05,0.6667
