firm,delete,full_fill,partial_fill,total,partial_cancel,no_match,fill_rate_%,delete_rate_%,med_hold_ms
WBPX,1713768,0,0,1713768,0,0,0.0,100.0,9.9
JPMS,530253,0,0,530253,0,0,0.0,100.0,7.4
WCHV,343996,0,0,343996,0,0,0.0,100.0,6.2
IMCC,44197,0,0,44197,0,0,0.0,100.0,18872.1
SGAS,29667,0,0,29667,0,0,0.0,100.0,35042.2
UBSS,15796,131,20,15947,0,0,0.947,99.1,637213.0
ETMM,6071,0,0,6071,0,0,0.0,100.0,347708.1
GSCO,5211,0,0,5211,0,0,0.0,100.0,754567.6
SUFI,3588,0,0,3588,0,0,0.0,100.0,520365.2
VIRT,1007,0,0,1007,0,0,0.0,100.0,839710.5
TSSM,878,0,0,878,0,0,0.0,100.0,3634140.0
GTSM,449,0,0,449,0,0,0.0,100.0,1987627.4
MLCO,444,0,0,444,0,0,0.0,100.0,3794986.3
HRTF,438,0,0,438,0,0,0.0,100.0,2832832.5
STFL,403,19,4,426,0,0,5.399,94.6,2757202.9
MAXM,412,0,0,412,0,0,0.0,100.0,3145084.4
CDRG,344,0,0,344,0,0,0.0,100.0,23401223.8
