date,t,pos,cash,pnl,firm,ticker
2026-02-23,57558.992917869,-1,261.0,0.2799999999999727,UBSS,AVAV
2026-02-24,34200.955467454,1,-241.0,10.585000000000036,UBSS,AVAV
2026-02-24,34203.437817541,61,-15241.0,25.164999999999054,UBSS,AVAV
2026-02-24,34203.437817541,62,-15491.0,25.429999999998472,UBSS,AVAV
2026-02-24,34203.437817541,562,-140491.0,157.92999999999302,UBSS,AVAV
2026-02-24,34203.437817541,567,-141741.0,159.25500000000466,UBSS,AVAV
2026-02-24,34203.437817541,571,-142741.0,160.31500000000233,UBSS,AVAV
2026-02-24,34203.437817541,575,-143741.0,161.375,UBSS,AVAV
2026-02-24,34203.437817541,600,-149991.0,168.0,UBSS,AVAV
2026-02-24,34206.920065343,605,-151232.65,-1044.4249999999884,UBSS,AVAV
2026-02-24,34206.920065343,606,-151480.36,-1043.8899999999849,UBSS,AVAV
2026-02-25,34200.617190467,676,-169977.86,8759.919999999984,UBSS,AVAV
2026-02-25,56761.01888074,696,-175077.86,2889.3400000000256,UBSS,AVAV
2026-02-25,57227.161922783,711,-178899.86,2504.679999999993,UBSS,AVAV
2026-02-25,57261.05357365,721,-181449.36,2632.7550000000047,UBSS,AVAV
2026-02-27,34203.890571079,726,-182699.36,187.30000000004657,UBSS,AVAV
2026-02-27,34203.890571079,728,-183199.36,191.12000000002445,UBSS,AVAV
2026-02-27,34203.890571079,729,-183449.36,193.03000000002794,UBSS,AVAV
2026-03-02,56760.066712999,730,-183653.36,-33660.25999999998,UBSS,AVAV
2026-03-02,57085.631633971,710,-179513.36,-33054.55999999997,UBSS,AVAV
2026-03-02,57177.02295379,510,-138133.36,-33068.25999999998,UBSS,AVAV
2026-03-02,57245.947430017,685,-174354.86,-32451.972499999974,UBSS,AVAV
2026-03-03,57164.331231739,535,-140079.86,-17853.75999999998,UBSS,AVAV
2026-03-03,57416.874650515,543,-141903.86,-17966.824999999983,UBSS,AVAV
2026-03-04,34203.113659957,538,-140763.86,-20456.29999999999,UBSS,AVAV
2026-03-05,34200.58848916,539,-140995.75,-16273.845000000001,UBSS,AVAV
2026-03-06,34201.098617128,537,-140558.77,-25090.344999999987,UBSS,AVAV
2026-03-09,56822.875976741,540,-141232.27,-19913.169999999984,UBSS,AVAV
2026-03-10,56748.076251587,565,-146807.27,-20529.76999999999,UBSS,AVAV
2026-03-10,56748.076444676,570,-147912.27,-20517.26999999999,UBSS,AVAV
2026-03-10,56881.692174056,435,-117753.26999999999,-20625.382499999978,UBSS,AVAV
2026-03-10,56989.181284754,445,-119975.46999999999,-20727.119999999966,UBSS,AVAV
2026-03-10,57359.0733163,495,-131075.46999999997,-21083.994999999966,UBSS,AVAV
2026-03-10,57383.560167282,503,-132850.66999999998,-21001.074999999983,UBSS,AVAV
2026-03-11,56752.0193979,511,-134498.66999999998,-28473.834999999977,UBSS,AVAV
2026-03-11,56752.019636419,516,-135533.66999999998,-28471.409999999974,UBSS,AVAV
2026-03-11,56894.010146792,528,-138019.34999999998,-28678.469999999972,UBSS,AVAV
2026-03-12,56754.01770101,543,-141214.34999999998,-25335.434999999983,UBSS,AVAV
2026-03-13,34200.201846597,533,-139014.34999999998,-24728.48999999996,UBSS,AVAV
2026-03-13,34200.201846597,532,-138794.34999999998,-24722.909999999974,UBSS,AVAV
2026-03-13,34200.201846597,531,-138574.34999999998,-24717.329999999973,UBSS,AVAV
2026-03-13,56754.058346255,581,-148924.34999999998,-28480.144999999975,UBSS,AVAV
2026-03-13,57314.501779578,591,-150997.34999999998,-28279.15499999997,UBSS,AVAV
2026-03-13,57396.074354724,691,-171707.34999999998,-28435.409999999974,UBSS,AVAV
2026-03-17,56753.068817683,686,-170607.84999999998,-21999.669999999955,UBSS,AVAV
2026-03-17,56753.068836307,681,-169505.34999999998,-21980.31999999995,UBSS,AVAV
2026-03-17,56753.069950033,606,-153005.34999999998,-21727.56999999995,UBSS,AVAV
2026-03-18,34201.556681573,608,-153443.34999999998,-19625.589999999967,UBSS,AVAV
2026-03-18,34205.275272979,613,-154533.34999999998,-20090.189999999973,UBSS,AVAV
2026-03-18,57384.38263791,618,-155609.74999999997,-22504.909999999974,UBSS,AVAV
2026-03-19,34200.783034932,651,-162492.55999999997,-26241.514999999956,UBSS,AVAV
2026-03-23,34201.488460092,726,-177492.55999999997,-32027.56999999995,UBSS,AVAV
2026-03-23,34201.488460092,736,-179492.55999999997,-32023.919999999955,UBSS,AVAV
2026-03-23,34201.488460092,744,-181088.55999999997,-32016.99999999997,UBSS,AVAV
2026-03-23,34204.96532912,754,-183077.55999999997,-31840.23999999996,UBSS,AVAV
2026-03-23,34204.96532912,757,-183673.86999999997,-31834.80999999997,UBSS,AVAV
2026-03-23,56947.818226701,752,-182637.56999999998,-26789.329999999987,UBSS,AVAV
2026-03-23,57214.394877151,747,-181602.27,-26947.12499999997,UBSS,AVAV
2026-03-23,57302.812343945,769,-186151.87,-26999.629999999976,UBSS,AVAV
2026-03-24,56753.020755519,779,-188111.87,-34831.935,UBSS,AVAV
2026-03-25,56748.030998779,780,-188310.87,-33032.369999999995,UBSS,AVAV
2026-03-27,34200.631337847,807,-193493.52,-38275.139999999956,UBSS,AVAV
2026-03-27,34200.631337847,837,-199238.52,-38249.93999999997,UBSS,AVAV
2026-03-27,34202.110336025,847,-201148.52,-38901.435,UBSS,AVAV
2026-03-27,56753.027177894,849,-201517.31999999998,-44651.83499999996,UBSS,AVAV
2026-02-23,34204.694631324,1,-92.0,1.105000000000004,UBSS,KTOS
2026-02-23,34207.969511076,17,-1552.96,31.779999999999973,UBSS,KTOS
2026-02-24,34200.485995949,27,-2429.76,-53.76000000000022,UBSS,KTOS
2026-02-24,34200.778575793,25,-2254.92,-70.67000000000007,UBSS,KTOS
2026-02-24,34215.47241296,75,-6504.92,-74.41999999999916,UBSS,KTOS
2026-02-24,34215.47241296,76,-6589.92,-73.67999999999938,UBSS,KTOS
2026-02-24,34215.47241296,77,-6674.77,-72.78999999999996,UBSS,KTOS
2026-02-24,34215.47241296,91,-7861.130000000001,-58.789999999999964,UBSS,KTOS
2026-02-24,57463.440982245,102,-8859.160000000002,396.5749999999989,UBSS,KTOS
2026-02-25,34201.368069337,100,-8673.560000000001,609.4400000000005,UBSS,KTOS
2026-02-25,56972.027343294,160,-13983.560000000001,238.03999999999905,UBSS,KTOS
2026-02-25,57246.791837933,170,-14870.36,221.39000000000124,UBSS,KTOS
2026-02-26,34201.164409104,195,-17057.86,35.840000000000146,UBSS,KTOS
2026-02-26,34201.164409104,295,-25787.86,71.84000000000015,UBSS,KTOS
2026-02-26,34204.184999282,296,-25874.86,53.2599999999984,UBSS,KTOS
2026-02-26,57541.580672022,276,-24033.260000000002,1367.0199999999968,UBSS,KTOS
2026-02-27,34200.392502518,277,-24118.460000000003,-491.7450000000026,UBSS,KTOS
2026-02-27,34200.392502518,282,-24543.960000000003,-490.7700000000041,UBSS,KTOS
2026-02-27,34200.490981204,257,-22393.960000000003,-443.5900000000038,UBSS,KTOS
2026-02-27,34201.322718718,434,-37438.96000000001,-377.52999999999884,UBSS,KTOS
2026-02-27,34201.322718718,484,-41688.96000000001,-357.77999999999884,UBSS,KTOS
2026-02-27,34201.322718718,485,-41773.96000000001,-357.38500000000204,UBSS,KTOS
2026-02-27,34204.520664615,517,-44493.00000000001,-199.02500000000146,UBSS,KTOS
2026-02-27,34204.520664615,522,-44917.40000000001,-195.0500000000029,UBSS,KTOS
2026-02-27,34204.520664615,532,-45765.40000000001,-186.3000000000029,UBSS,KTOS
2026-03-02,34204.68570112,669,-58095.40000000001,2245.0549999999857,UBSS,KTOS
2026-03-02,34204.68570112,674,-58545.40000000001,2246.0299999999843,UBSS,KTOS
2026-03-02,34204.68570112,974,-85545.40000000001,2304.5299999999843,UBSS,KTOS
2026-03-02,57266.509980109,874,-76439.40000000001,3042.159999999989,UBSS,KTOS
2026-03-02,57490.027100725,880,-76983.90000000001,2957.4999999999854,UBSS,KTOS
2026-03-02,57496.80178544,380,-31533.90000000001,3002.399999999994,UBSS,KTOS
2026-03-03,34201.440476096,392,-32604.90000000001,2484.9799999999886,UBSS,KTOS
2026-03-03,34201.440476096,292,-23554.90000000001,2583.4799999999923,UBSS,KTOS
2026-03-03,34201.440476096,296,-23910.10000000001,2586.3399999999892,UBSS,KTOS
2026-03-03,56958.039249723,1016,-87918.10000000002,3521.8999999999796,UBSS,KTOS
2026-03-03,56958.039266512,1017,-88006.98000000003,3523.019999999975,UBSS,KTOS
2026-03-03,57216.353744906,1067,-92473.48000000003,2852.299999999974,UBSS,KTOS
2026-03-04,34200.466449841,1064,-92207.62000000002,1972.3399999999965,UBSS,KTOS
2026-03-04,34200.466449841,1076,-93269.62000000002,1972.5199999999895,UBSS,KTOS
2026-03-04,34200.466449841,1073,-93002.62000000002,1973.9749999999913,UBSS,KTOS
2026-03-05,34200.946138051,1193,-103682.62000000002,1933.6699999999837,UBSS,KTOS
2026-03-05,57546.649453527,1203,-104537.32000000002,-1698.8650000000052,UBSS,KTOS
2026-03-06,34201.359287171,1206,-104786.32000000002,-4242.10000000002,UBSS,KTOS
2026-03-06,34204.624341164,1208,-104951.72000000002,-4790.400000000009,UBSS,KTOS
2026-03-06,34207.831297456,1210,-105116.52000000002,-4789.37000000001,UBSS,KTOS
2026-03-06,34207.831297456,1212,-105281.02000000002,-4788.040000000008,UBSS,KTOS
2026-03-06,34214.861774394,1218,-105773.02000000002,-4386.700000000012,UBSS,KTOS
2026-03-06,34214.861774394,1827,-155711.02000000002,-3631.540000000008,UBSS,KTOS
2026-03-06,34214.861774394,1832,-156121.02000000002,-3625.3399999999965,UBSS,KTOS
2026-03-06,34214.861774394,1835,-156367.02000000002,-3621.6199999999953,UBSS,KTOS
2026-03-06,57536.160741148,1845,-157236.72000000003,3370.5299999999697,UBSS,KTOS
2026-03-09,34200.225115142,1854,-158024.22000000003,4905.299999999959,UBSS,KTOS
2026-03-09,57404.860736121,1964,-168199.22000000003,13726.099999999948,UBSS,KTOS
2026-03-09,57512.542288081,2090,-179851.70000000004,13588.24999999997,UBSS,KTOS
2026-03-10,34200.409104897,2104,-181125.70000000004,11001.059999999969,UBSS,KTOS
2026-03-10,34200.409104897,2092,-180021.70000000004,11009.27999999994,UBSS,KTOS
2026-03-10,34200.409104897,2097,-180476.70000000004,11010.854999999952,UBSS,KTOS
2026-03-10,57234.912425105,2118,-182345.70000000004,6272.789999999979,UBSS,KTOS
2026-03-11,34200.238810917,2142,-184433.70000000004,2188.0499999999593,UBSS,KTOS
2026-03-11,34200.238810917,2144,-184607.70000000004,2188.2999999999593,UBSS,KTOS
2026-03-12,34203.297755055,2319,-199937.70000000004,5293.799999999959,UBSS,KTOS
2026-03-12,34206.742171994,2332,-201068.70000000004,5010.139999999956,UBSS,KTOS
2026-03-12,34206.742171994,2352,-202808.70000000004,5037.539999999979,UBSS,KTOS
2026-03-13,34200.967560725,2367,-204157.20000000004,8778.119999999966,UBSS,KTOS
2026-03-16,34200.67161005,2235,-192409.20000000004,6271.124999999971,UBSS,KTOS
2026-03-16,34200.67161005,2215,-190609.20000000004,6293.224999999977,UBSS,KTOS
2026-03-16,34200.67161005,2213,-190428.40000000005,6296.234999999957,UBSS,KTOS
2026-03-16,56966.025698249,2313,-199376.40000000005,7718.054999999935,UBSS,KTOS
2026-03-17,34200.863311779,2318,-199828.90000000005,10413.699999999953,UBSS,KTOS
2026-03-17,56965.035793089,2298,-197928.90000000005,19714.679999999964,UBSS,KTOS
2026-03-17,56965.036013421,2296,-197738.50000000006,19715.659999999974,UBSS,KTOS
2026-03-17,56965.036027725,2196,-188218.50000000006,19764.659999999945,UBSS,KTOS
2026-03-17,57064.720650554,2146,-183468.50000000006,19934.744999999937,UBSS,KTOS
2026-03-17,57178.356999982,2156,-184417.70000000007,20267.54999999993,UBSS,KTOS
2026-03-17,57505.098070181,2155,-184322.57000000007,20687.96749999994,UBSS,KTOS
2026-03-23,34200.66810161,2255,-192672.57000000007,-4086.920000000071,UBSS,KTOS
2026-03-23,56962.02110673,2261,-193178.31000000006,-2446.0025000000605,UBSS,KTOS
2026-03-24,34200.592680553,2263,-193343.31000000006,-6521.34500000003,UBSS,KTOS
2026-03-24,34200.592680553,2265,-193508.25000000006,-6521.175000000047,UBSS,KTOS
2026-03-24,34201.872318939,2278,-194574.25000000006,-7504.890000000043,UBSS,KTOS
2026-03-24,34201.872318939,2291,-195640.25000000006,-7503.330000000045,UBSS,KTOS
2026-03-24,56963.022331599,2306,-196806.50000000006,-17226.75000000006,UBSS,KTOS
2026-03-25,34200.822236713,2263,-193366.50000000006,-12360.445000000065,UBSS,KTOS
2026-03-25,34200.822236713,2262,-193286.32000000007,-12360.250000000058,UBSS,KTOS
2026-03-26,57465.731985239,2267,-193665.32000000007,-21804.050000000047,UBSS,KTOS
2026-03-27,57218.436468843,2268,-193737.16000000006,-30486.520000000048,UBSS,KTOS
2026-03-04,34781.234255056,100,-1290.0,0.5,STFL,TALO
2026-03-04,34781.23429162,200,-2580.0,1.0,STFL,TALO
2026-03-04,34781.234316396,300,-3870.0,1.5000000000004547,STFL,TALO
2026-03-04,34781.234360515,400,-5160.0,5.0000000000009095,STFL,TALO
2026-03-04,34783.017374632,500,-6450.0,10.00000000000091,STFL,TALO
2026-03-04,34783.017388047,600,-7740.0,15.0,STFL,TALO
2026-03-04,34820.930693462,700,-9030.0,-45.5,STFL,TALO
2026-03-04,34820.930713749,800,-10320.0,-52.0,STFL,TALO
2026-03-04,34820.930734866,900,-11610.0,-58.5,STFL,TALO
2026-03-04,34820.930786365,963,-12422.7,-62.594999999999345,STFL,TALO
2026-03-04,34820.930812549,1026,-13235.400000000001,-66.69000000000051,STFL,TALO
2026-03-04,34820.930828876,1089,-14048.100000000002,-70.78500000000167,STFL,TALO
2026-03-04,34820.930923024,1092,-14086.800000000003,-70.98000000000138,STFL,TALO
2026-03-04,34942.432643552,992,-12809.800000000003,-132.04000000000087,STFL,TALO
2026-03-04,34942.433067699,892,-11532.800000000003,-133.0400000000027,STFL,TALO
2026-03-04,34942.43309911,792,-10255.800000000003,-134.0400000000027,STFL,TALO
2026-03-04,34942.433143158,692,-8978.800000000003,-135.0400000000027,STFL,TALO
2026-03-04,34942.433184116,691,-8966.030000000002,-135.0500000000011,STFL,TALO
2026-03-04,35379.461790516,591,-7694.0300000000025,-173.5550000000012,STFL,TALO
2026-03-04,35379.462282278,491,-6422.0300000000025,-174.0550000000021,STFL,TALO
2026-03-04,35379.462772034,391,-5150.0300000000025,-174.5550000000021,STFL,TALO
2026-03-04,35379.470982747,291,-3878.0300000000025,-175.0550000000021,STFL,TALO
2026-03-04,35379.471410863,280,-3738.1100000000024,-175.11000000000195,STFL,TALO
