date,n_submits,n_execs,order_to_trade_ratio,avg_holding_s,med_holding_s,frac_round_lots,cancel_rate,frac_hidden_exec,peak_half_hour_ET,sub_imbalance,top_sizes
2025-10-01,169620,22707,7.47,529.0342,1.222,0.4,0.7375,0.4481,15:30,-0.1094,"{np.int64(0): 75273, np.int64(100): 67290, np.int64(10): 13170, np.int64(20): 4577, np.int64(50): 2538}"
2025-10-02,161531,19694,8.2,3129.1578,7.3424,0.3896,0.9512,0.485,15:30,0.1888,"{np.int64(0): 73741, np.int64(100): 62111, np.int64(10): 13069, np.int64(20): 4603, np.int64(50): 2448}"
2025-10-02,157824,19209,8.22,555.6223,1.0063,0.3972,0.7265,0.4855,15:30,0.1922,"{np.int64(0): 71046, np.int64(100): 61883, np.int64(10): 12673, np.int64(20): 4431, np.int64(50): 2384}"
2025-10-03,150731,18770,8.03,3695.1757,10.6963,0.4056,0.9486,0.4676,15:30,-0.0426,"{np.int64(0): 67304, np.int64(100): 60357, np.int64(10): 10971, np.int64(20): 4307, np.int64(50): 2503}"
2025-10-06,178122,25594,6.96,3135.7635,8.1634,0.3818,0.9319,0.4034,09:30,-0.0984,"{np.int64(0): 82658, np.int64(100): 67017, np.int64(10): 14621, np.int64(20): 5207, np.int64(50): 2715}"
2025-10-07,164175,20466,8.02,3006.3208,8.0303,0.3826,0.9473,0.4753,09:30,0.0176,"{np.int64(0): 76831, np.int64(100): 61985, np.int64(10): 12482, np.int64(20): 4635, np.int64(50): 2242}"
2025-10-08,60272,5257,11.47,97.2753,2.6245,0.3136,0.6001,0.5077,09:30,0.0495,"{np.int64(0): 30598, np.int64(100): 18677, np.int64(10): 5623, np.int64(20): 2080, np.int64(50): 1110}"
2025-10-09,236086,33523,7.04,2091.7531,1.5933,0.49,0.9486,0.5247,09:30,0.0297,"{np.int64(100): 114647, np.int64(0): 86492, np.int64(10): 17322, np.int64(20): 6069, np.int64(50): 3429}"
2025-10-10,189069,29859,6.33,2544.4222,3.5228,0.4139,0.9428,0.5307,15:30,0.0539,"{np.int64(0): 80134, np.int64(100): 77479, np.int64(10): 14761, np.int64(20): 6022, np.int64(50): 3789}"
2025-10-13,155667,18900,8.24,3259.3631,6.4635,0.4073,0.9547,0.5163,15:30,0.0853,"{np.int64(0): 68642, np.int64(100): 62774, np.int64(10): 12542, np.int64(20): 4733, np.int64(50): 2295}"
2025-10-14,159314,17544,9.08,3199.8901,5.6429,0.4107,0.9538,0.4773,15:30,0.0052,"{np.int64(0): 68233, np.int64(100): 64847, np.int64(10): 12946, np.int64(20): 4893, np.int64(50): 2916}"
