feature,coef,z,p,ci_lo,ci_hi
const,130.30415,0.78408,0.43299,-195.41493,456.02324
oib_60s,0.43944,0.36431,0.71563,-1.92472,2.80359
mom_1s,2.35951,1.27584,0.20201,-1.26521,5.98423
mom_5s,-1.97525,-0.99203,0.32118,-5.87776,1.92726
vol_30s,2.31587,0.43067,0.66671,-8.22356,12.8553
spread_ticks,113.07582,0.70734,0.47935,-200.24329,426.39494
queue_z,-0.11393,-0.06426,0.94877,-3.58905,3.36119
size_z,0.11075,0.09776,0.92213,-2.10978,2.33129
price_to_mid,-289.66466,-4.58751,0.0,-413.42065,-165.90867
session_phase,1.0063,0.67584,0.49914,-1.91202,3.92461
mom1_x_oib,-1.05248,-1.18781,0.23491,-2.78912,0.68417
